question,A,B,C,D,answer
Time complexity of binary search?,O(n),O(log n),O(n log n),O(1),B
Which data structure follows FIFO?,Stack,Queue,Tree,Graph,B
Which is NOT an OS scheduling algorithm?,FCFS,SJF,Round Robin,DFS,D
Which traversal gives sorted order in BST?,Preorder,Postorder,Inorder,Level order,C
Which data structure is used for recursion?,Queue,Array,Stack,Linked List,C
Time complexity of merge sort?,O(n),O(log n),O(n log n),O(n^2),C
Which is a non-linear data structure?,Array,Queue,Stack,Tree,D
Which layer handles routing?,Transport,Network,Session,Application,B
Which algorithm uses greedy approach?,Merge Sort,Dijkstra,Binary Search,BFS,B
Which normal form removes transitive dependency?,1NF,2NF,3NF,BCNF,C



